phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,middleRingWeight,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999596642e-09,17.8271033146349,0.904656674016972,0.79757213115619,45.0420645044568,0.797572130324018,45.0420644767094,0.350463443084646,0.350170483574398,4e-09,12.00000068,0.750370861622301,3.00822670903177,1.5e-08,0.0400410851000075,39,0.297095,2.68562571581181,0,10203101.9368393,0.102723936263821
9.99999999717651e-09,17.8787975928143,0.903257305253779,0.798300599271247,45.0294451672912,0.798300598688799,45.029445147868,0.350324395917634,0.35011933656827,4e-09,12.00000068,0.750259603146402,3.00575664845088,1.5e-08,0.0400287543247226,40,0.368316500000001,1.70606370124452,0,6481596.35650397,0.0529092804306635
9.99999999802355e-09,17.9150729710352,0.902278952552732,0.798810472589399,45.0206116219647,0.798810472181721,45.0206116083684,0.350227070153244,0.350083534649689,4e-09,12.00000068,0.750181722206183,3.00402865043058,1.5e-08,0.0400201254574983,41,0.418171550000001,1.26115962985375,0,4791337.89428088,0.0358074429054922
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,42,0.453070084999999,1.05529901836873,0,4009242.0156946,0.0279862060445159
6.91830973091682e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,43,0.453070084999999,1.05529901679944,0,4009242.00973262,0.0279862060388627
9.99999999861649e-09,17.8039793621346,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,44,0.453070085,1.03662592264668,0,3938300.07542097,0.0280559312603863
9.99999999861649e-09,17.940509355485,0.89388345101177,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,45,0.453070085,1.07086682030106,0,4068386.47097476,0.0280206327491844
9.99999999861649e-09,17.940509355485,0.901594697319708,0.806629983609154,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,46,0.453070085,1.06379737765107,0,4041528.57950845,0.0279800851208624
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.2644182780681,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,47,0.453070085,1.06270486598098,0,4037377.96094996,0.0279088371204454
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.8066299833242,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,48,0.453070084999999,1.06379737903658,0,4041528.58477221,0.0279799242046049
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.2644182685518,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,49,0.453070085000001,1.06270486807901,0,4037377.96892072,0.0279105043112072
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.34622608049465,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,50,0.453070085000001,1.05825377146328,0,4020467.57361371,0.028024648776563
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.346125868784394,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,51,0.453070085,1.05645927876825,0,4013650.02201502,0.0280068567086242
