phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.358155388929706,4e-09,32,0.748909996076586,2.86354572470012,0.041876463837376,81,0.751407515136317,3.05932177544432,2.69134275916388,3471883.85585542,0.0350482243796447
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,1.59242869259491e-09,32,0.748909996076586,2.86354572470012,0.041876463837376,82,0.751407515136317,3.0611386544878,2.69822956922484,3473945.7484846,0.0351379084094676
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,1.00475455691071e-08,32,0.748909996076586,2.86354572470012,0.041876463837376,83,0.751407515136317,3.0611386544878,2.69822956922484,3473945.7484846,0.0351379084094676
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,31.3014540852229,0.748909996076586,2.86354572470012,0.041876463837376,84,0.751407515136317,3.0611386544878,2.69822956922484,3473945.7484846,0.0351379084094676
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32.7130742724422,0.748909996076586,2.86354572470012,0.041876463837376,85,0.751407515136317,3.0611386544878,2.69822956922484,3473945.7484846,0.0351379084094676
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.730164621888164,2.86354572470012,0.041876463837376,86,0.751407515136317,3.06076901322712,2.69437577710748,3473526.2595849,0.0350877220961926
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.767656732199529,2.86354572470012,0.041876463837376,87,0.751407515136317,3.06136374107226,2.70227451376588,3474201.18891753,0.0351905840203294
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.748909996076586,2.73912218905135,0.041876463837376,88,0.751407515136317,3.05979442426186,2.68157847313485,3472420.2433032,0.0349210681909775
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.748909996076586,2.99302199191827,0.041876463837376,89,0.751407515136317,3.05940941053413,2.71832600374635,3471983.30889627,0.0353996158207375
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.748909996076586,2.86354572470012,0.0389735787842919,90,0.751407515136317,3.05849465217353,2.68617395421495,3470945.1916215,0.0349809132075512
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.748909996076586,2.86354572470012,0.0450324581197,91,0.751407515136317,3.06243618278365,2.71110446311716,3475418.25378922,0.0353055727355612
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.748909996076586,2.86354572470012,0.041876463837376,92,0.701407515136317,3.53319905751936,3.6081206233698,4009665.43166041,0.0469870367741547
1.0000000193794e-08,16.5265676381587,0.897512152699462,0.796402033081665,43.1117533542887,0.808992263873532,42.1058053917076,0.348955119844736,0.348292673137931,4e-09,32,0.748909996076586,2.86354572470012,0.041876463837376,93,0.801407515136317,2.75491623403523,2.18028071065922,3126427.97954516,0.0283928783495177
1.00000002011973e-08,16.6008651583254,0.90975826115324,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,94,0.749399652916644,2.99345913083316,2.71625694280858,3397139.36367259,0.0353726713106949
3.9810718155903e-09,16.6008651583254,0.90975826115324,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,95,0.749399652916643,2.99345907966533,2.71625694462237,3397139.30560458,0.0353726713343152
2.51188644028833e-08,16.6008651583254,0.90975826115324,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,96,0.749399652916644,2.99345926003989,2.71625693884974,3397139.51030339,0.0353726712591406
1.00000002011973e-08,16.2898087726785,0.90975826115324,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,97,0.749399652916643,3.14211934382544,2.70577882291771,3565847.01568837,0.0352362191639881
1.00000002011973e-08,16.9192026251987,0.90975826115324,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,98,0.749399652916644,3.01091347646198,2.7568273653892,3416947.49934816,0.0359010028541006
1.00000002011973e-08,16.6008651583254,0.890433496128919,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,99,0.749399652916644,2.99371872252478,2.70501084069658,3397433.9623678,0.0352262180546481
1.00000002011973e-08,16.6008651583254,0.929468273760387,0.800019927158869,43.4598710530277,0.809649511748409,42.1991379936632,0.347890994679217,0.348606768683059,4e-09,32,0.745355379725174,2.7979906956049,0.0417672345179095,100,0.749399652916644,2.99074808741493,2.72868861532359,3394062.72493789,0.0355345637512756
