angleDeg,phaseFrac,spacingFactor,widthFactor,helixPlusWeight,helixMinusWeight,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,baseDensity,eval,J,stressObjective,dispObjective,trueMaxHM,maxAbsUz,fullVolumeFraction,maxHM_min_bending,tipUz_min_bending,maxHM_min_torsion,tipUz_min_torsion,maxHM_min_shear,tipUz_min_shear,maxHM_max_bending,tipUz_max_bending,maxHM_max_torsion,tipUz_max_torsion,maxHM_max_shear,tipUz_max_shear,maxHM_max_tension,tipUz_max_tension
45.0016031953937,8.28185012577194e-09,19.2706576624908,0.875208063580991,0.801569819964214,0.801848063849828,0.351508055236299,0.349587899242555,2.59346440304042e-09,31.5428167110552,0.750047383039302,0.0396221948562702,44,0.879031495274554,0.879031495274554,1.19985661358222,55796470.2115477,1.03731332626962,0.4,55796470.2115477,-1.03731332626962,36841259.2432185,-0.634388274577922,9314128.80305274,-0.0378370229244482,55796470.128103,-1.03731332482299,36844220.2578309,-0.632926495315449,9314128.81147795,-0.0378370229660328,23460978.6580844,-0.153132129606883
45.0019021539388,8.79023795471475e-09,19.2652701988759,0.860237154543912,0.801435769201849,0.801207190822551,0.351176273480888,0.350899470911924,3.42590322590289e-09,31.8081816145107,0.750037388850281,0.0376269227849303,45,0.872589903880653,0.872589903880653,1.18205831310217,55395472.2067434,1.02180168461086,0.4,55395472.2067434,-1.02180168461086,36685105.8702865,-0.625798063178677,9238479.68917614,-0.0372502180196806,55395472.1229994,-1.02180168306258,36682493.4978593,-0.624355892310021,9238479.69619977,-0.0372502180566517,23275349.8988055,-0.150953744507436
45.0025407309031,9.24700190521187e-09,19.6311313911653,0.84297865435641,0.801842052579694,0.801499207036207,0.352074337334991,0.351658921509537,3.55739950491951e-09,31.789361048592,0.750044364525416,0.0368377428000997,46,0.847532276116513,0.847532276116513,1.14016093368514,52987017.6858338,0.986016200218008,0.4,52987017.6858338,-0.986016200218008,36030466.0655044,-0.602672240639314,9031818.69026719,-0.0359152227881342,52987017.6232811,-0.986016199347717,36026693.3341181,-0.601273920966355,9031818.69680782,-0.0359152228268549,22211032.7506134,-0.146231071192064
45.0024286677113,7.01394681576188e-09,19.4992318439941,0.868326451138395,0.80114354210033,0.801560894015198,0.350401034457877,0.35060306673779,1.74623230015106e-09,32.1287782348272,0.750035034829353,0.0384010979506332,47,0.859335672696671,0.859335672696671,1.17872688325637,54051757.8894454,1.01924540491046,0.4,54051757.8538208,-1.01924540404651,36629763.5568879,-0.622962845429678,8979777.07000142,-0.037168951480003,54051757.8894454,-1.01924540491046,36635031.1373627,-0.621519023405813,8979777.06829926,-0.0371689514695663,22602993.0472811,-0.150521887050541
45.0017761006984,9.25712003092601e-09,19.4008301638386,0.864733826295842,0.801531867404461,0.800918293021831,0.351002011202776,0.34806637680248,3.449735836593e-09,32.0792775265542,0.750035338248854,0.0379847259584283,48,0.864436396531404,0.864436396531404,1.17731497466515,54529356.2146138,1.01818414145719,0.4,54529356.2146138,-1.01818414145719,36881839.9012301,-0.621984982717162,9061245.02590548,-0.0371226829639357,54529356.0887937,-1.01818413942643,36874271.450906,-0.620549048111754,9061245.02803634,-0.0371226829748315,22828678.0086527,-0.150430300777678
45.002906833128,6.30238311663127e-09,19.603775153572,0.862741574852991,0.800868405541948,0.801496588924176,0.350519470797969,0.350101916010283,5.02523479605483e-09,31.733242333939,0.750027081430345,0.0387653224537384,49,0.856345289520485,0.856345289520485,1.16863531571233,53566095.2004745,1.01057901974244,0.4,53566095.2004745,-1.01057901974244,36200640.1697779,-0.61663079141303,9074506.6978516,-0.036863637237449,53566095.1984436,-1.01057901958039,36206536.3888406,-0.615197839494745,9074506.70335196,-0.0368636372525729,22336613.7310882,-0.149524664746482
45.0022096234141,9.1499317576229e-09,19.7039130760659,0.860625004270209,0.801578364067463,0.801484234859394,0.350621389442429,0.350265913445565,3.81052893058274e-09,31.972494375379,0.750136496958275,0.0388844874420203,50,0.85038285708593,0.85038285708593,1.16393195477757,52892464.8110638,1.0065621653784,0.4,52892464.806982,-1.00656216513797,36042513.8927008,-0.614612712284582,9125359.85853728,-0.0366900408091827,52892464.8110638,-1.0065621653784,36041528.1964294,-0.613182414597958,9125359.85785528,-0.0366900408069717,22496270.4599905,-0.149132260437645
45.0020028058939,1.06902777434806e-08,19.7641533599027,0.847329489676193,0.801056872917271,0.802006350349837,0.349906614405684,0.349785690964267,2.73793999563324e-09,31.8368724159487,0.750052652140447,0.0405250217130798,51,0.842703929729668,0.842703929729668,1.1533442703955,52307397.5780865,0.996702440822631,0.4,52307397.5660536,-0.996702440758886,35824050.939484,-0.61089273776085,8740609.99928889,-0.0363043932949689,52307397.5780865,-0.996702440822631,35831815.6400996,-0.609465059916171,8740609.99834913,-0.0363043932887136,21663638.2054403,-0.148064936452875
45.0021803751257,1.37200514186092e-08,20.2619068959321,0.82700863662868,0.800937994972683,0.80280110456699,0.349338581242472,0.349549192969779,2.2546097765167e-09,31.7893267199969,0.750058205126159,0.0426009533275399,52,0.858987272895794,0.858987272895794,1.11008079300236,51150952.7361633,0.955418543577913,0.4,51150952.6447549,-0.955418541922835,36740072.212716,-0.606591148706213,11034495.8338717,-0.0343193272048338,51150952.7361633,-0.955418543577913,36772823.3045305,-0.60517472024047,11034495.8285166,-0.03431932718051,27061163.2665879,-0.144954434372439
45.0024990372567,9.72148951898771e-09,19.9589178705198,0.851811376676916,0.804053388119182,0.801690078933643,0.350559063785305,0.350406094373171,3.48709677141132e-09,31.9419420449282,0.750046281527168,0.0397141832178117,53,0.834197437282249,0.834197437282249,1.14082763740631,51597926.7904902,0.984588472310084,0.4,51597926.7713183,-0.984588471950427,34843266.0632208,-0.609931509609864,8796609.30672272,-0.0357190498450412,51597926.7904902,-0.984588472310084,34816653.4274498,-0.608507252662206,8796609.32112505,-0.0357190499176182,21697290.7759915,-0.147477273282736
