phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999998214565e-09,19.0100143806352,0.900464877994985,0.799643777549197,45.3284341907697,0.799643796010314,45.3284346553047,0.349513331011167,0.349995082567468,4e-09,31.718814255274,0.750167802026175,3.00270924802432,0.0400074116723096,80,0.539188172278152,1.16780592633229,0,14623248.3753159,0.0657650894318044
9.99999998214565e-09,19.0100143806352,0.900464877994985,0.799643777549197,45.3284341907697,0.799643796010314,45.3284346553047,0.349513331011167,0.349995082567468,4e-09,32,0.757667534881708,3.00270924802432,0.0400074116723096,81,0.539188172278152,1.1680312675176,0,14626070.0942743,0.0658119444492926
9.99999998214565e-09,19.0100143806352,0.900464877994985,0.799643777549197,45.3284341907697,0.799643796010314,45.3284346553047,0.349513331011167,0.349995082567468,4e-09,32,0.750167802026175,2.95296293407982,0.0400074116723096,82,0.539188172278152,1.16752561996791,0,14619738.3832059,0.0656423917837223
9.99999998214565e-09,19.0100143806352,0.900464877994985,0.799643777549197,45.3284341907697,0.799643796010314,45.3284346553047,0.349513331011167,0.349995082567468,4e-09,32,0.750167802026175,3.00270924802432,0.0388438270261813,83,0.539188172278152,1.16612201327367,0,14602162.4411351,0.0655424993828792
9.99999998214565e-09,19.0100143806352,0.900464877994985,0.799643777549197,45.3284341907697,0.799643796010314,45.3284346553047,0.349513331011167,0.349995082567468,4e-09,32,0.750167802026175,3.00270924802432,0.0400074116723096,84,0.559188172278152,1.12717019725835,0,14114408.3825043,0.0582423668387085
1.00000002276065e-08,26.0538082440193,0.893941543432362,0.788555778967137,45.9426647604764,0.78855558693503,45.9426764950891,0.340761698175015,0.373602977039852,4e-09,32,0.740280797157293,2.93054739427882,0.03773917637066,85,0.0500000000000002,39.9869987008601,0,500716600.764818,90.6736566634637
1.00000001539683e-08,23.8970658947951,0.895893804674288,0.791884175988323,45.7584814064477,0.791884047175359,45.7584897640567,0.343381509079948,0.366493526106019,4e-09,32,0.743246700263515,2.95203479041785,0.038402986415358,86,0.196756451683446,7.52821226138376,0,94268161.5480938,1.27214652998022
1.00000001024215e-08,22.3848883396042,0.897262808574302,0.794213077466303,45.6295028112081,0.794212992872847,45.6295088025078,0.345218344719605,0.361529293763366,4e-09,32,0.745322963653497,2.96715816791065,0.0388760787225253,87,0.299485967861857,3.16322256753305,0,39609825.7667845,0.381550227281103
1.00000000663387e-08,21.3418502929482,0.898222294940979,0.795842802264751,45.5391974293566,0.79584274860676,45.5392017632948,0.34650553695682,0.35806134137069,4e-09,32,0.746776392577251,2.97778480567063,0.0392114187927788,88,0.371396629186746,2.15394433528672,0,26971658.8101473,0.206456839332541
1.00000000410808e-08,20.6247587042982,0.898894514457115,0.796983352051221,45.4759751444086,0.796983320038601,45.475978317811,0.347407244884073,0.355637530239519,4e-09,32,0.747793807880294,2.98524318374108,0.0394482189410131,89,0.421734092114168,1.97562038684762,0,24738688.9899976,0.142852254133751
